sysclk=53.250000 MHz, vco=852 MHz, fbdiv=71, pd1=4, pd2=4
sysclk=53.280000 MHz, vco=1332 MHz, fbdiv=111, pd1=5, pd2=5
sysclk=53.333333 MHz, vco=480 MHz, fbdiv=40, pd1=3, pd2=3
sysclk=53.333333 MHz, vco=960 MHz, fbdiv=80, pd1=6, pd2=3
sysclk=53.400000 MHz, vco=1068 MHz, fbdiv=89, pd1=5, pd2=4
sysclk=53.500000 MHz, vco=1284 MHz, fbdiv=107, pd1=6, pd2=4
sysclk=53.571429 MHz, vco=1500 MHz, fbdiv=125, pd1=7, pd2=4
sysclk=53.600000 MHz, vco=804 MHz, fbdiv=67, pd1=5, pd2=3
sysclk=53.714286 MHz, vco=1128 MHz, fbdiv=94, pd1=7, pd2=3
sysclk=53.760000 MHz, vco=1344 MHz, fbdiv=112, pd1=5, pd2=5
sysclk=54.000000 MHz, vco=432 MHz, fbdiv=36, pd1=4, pd2=2
sysclk=54.000000 MHz, vco=540 MHz, fbdiv=45, pd1=5, pd2=2
sysclk=54.000000 MHz, vco=648 MHz, fbdiv=54, pd1=6, pd2=2
sysclk=54.000000 MHz, vco=648 MHz, fbdiv=54, pd1=4, pd2=3
sysclk=54.000000 MHz, vco=756 MHz, fbdiv=63, pd1=7, pd2=2
sysclk=54.000000 MHz, vco=864 MHz, fbdiv=72, pd1=4, pd2=4
sysclk=54.000000 MHz, vco=972 MHz, fbdiv=81, pd1=6, pd2=3
sysclk=54.000000 MHz, vco=1080 MHz, fbdiv=90, pd1=5, pd2=4
sysclk=54.000000 MHz, vco=1296 MHz, fbdiv=108, pd1=6, pd2=4
sysclk=54.000000 MHz, vco=1512 MHz, fbdiv=126, pd1=7, pd2=4
sysclk=54.240000 MHz, vco=1356 MHz, fbdiv=113, pd1=5, pd2=5
sysclk=54.285714 MHz, vco=1140 MHz, fbdiv=95, pd1=7, pd2=3
sysclk=54.400000 MHz, vco=816 MHz, fbdiv=68, pd1=5, pd2=3
sysclk=54.428571 MHz, vco=1524 MHz, fbdiv=127, pd1=7, pd2=4
sysclk=54.500000 MHz, vco=1308 MHz, fbdiv=109, pd1=6, pd2=4
sysclk=54.600000 MHz, vco=1092 MHz, fbdiv=91, pd1=5, pd2=4
sysclk=54.666667 MHz, vco=492 MHz, fbdiv=41, pd1=3, pd2=3
sysclk=54.666667 MHz, vco=984 MHz, fbdiv=82, pd1=6, pd2=3
sysclk=54.720000 MHz, vco=1368 MHz, fbdiv=114, pd1=5, pd2=5
sysclk=54.750000 MHz, vco=876 MHz, fbdiv=73, pd1=4, pd2=4
sysclk=54.857143 MHz, vco=768 MHz, fbdiv=64, pd1=7, pd2=2
sysclk=54.857143 MHz, vco=1152 MHz, fbdiv=96, pd1=7, pd2=3
sysclk=54.857143 MHz, vco=1536 MHz, fbdiv=128, pd1=7, pd2=4
sysclk=55.000000 MHz, vco=660 MHz, fbdiv=55, pd1=6, pd2=2
sysclk=55.000000 MHz, vco=660 MHz, fbdiv=55, pd1=4, pd2=3
sysclk=55.000000 MHz, vco=1320 MHz, fbdiv=110, pd1=6, pd2=4
sysclk=55.200000 MHz, vco=552 MHz, fbdiv=46, pd1=5, pd2=2
sysclk=55.200000 MHz, vco=828 MHz, fbdiv=69, pd1=5, pd2=3
sysclk=55.200000 MHz, vco=1104 MHz, fbdiv=92, pd1=5, pd2=4
sysclk=55.200000 MHz, vco=1380 MHz, fbdiv=115, pd1=5, pd2=5
sysclk=55.285714 MHz, vco=1548 MHz, fbdiv=129, pd1=7, pd2=4
sysclk=55.333333 MHz, vco=996 MHz, fbdiv=83, pd1=6, pd2=3
sysclk=55.428571 MHz, vco=1164 MHz, fbdiv=97, pd1=7, pd2=3
sysclk=55.500000 MHz, vco=444 MHz, fbdiv=37, pd1=4, pd2=2
sysclk=55.500000 MHz, vco=888 MHz, fbdiv=74, pd1=4, pd2=4
sysclk=55.500000 MHz, vco=1332 MHz, fbdiv=111, pd1=6, pd2=4
sysclk=55.680000 MHz, vco=1392 MHz, fbdiv=116, pd1=5, pd2=5
sysclk=55.714286 MHz, vco=780 MHz, fbdiv=65, pd1=7, pd2=2
sysclk=55.714286 MHz, vco=1560 MHz, fbdiv=130, pd1=7, pd2=4
sysclk=55.800000 MHz, vco=1116 MHz, fbdiv=93, pd1=5, pd2=4
sysclk=56.000000 MHz, vco=504 MHz, fbdiv=42, pd1=3, pd2=3
sysclk=56.000000 MHz, vco=672 MHz, fbdiv=56, pd1=6, pd2=2
sysclk=56.000000 MHz, vco=672 MHz, fbdiv=56, pd1=4, pd2=3
sysclk=56.000000 MHz, vco=840 MHz, fbdiv=70, pd1=5, pd2=3
sysclk=56.000000 MHz, vco=1008 MHz, fbdiv=84, pd1=6, pd2=3
sysclk=56.000000 MHz, vco=1176 MHz, fbdiv=98, pd1=7, pd2=3
sysclk=56.000000 MHz, vco=1344 MHz, fbdiv=112, pd1=6, pd2=4
sysclk=56.142857 MHz, vco=1572 MHz, fbdiv=131, pd1=7, pd2=4
sysclk=56.160000 MHz, vco=1404 MHz, fbdiv=117, pd1=5, pd2=5
sysclk=56.250000 MHz, vco=900 MHz, fbdiv=75, pd1=4, pd2=4
sysclk=56.400000 MHz, vco=564 MHz, fbdiv=47, pd1=5, pd2=2
sysclk=56.400000 MHz, vco=1128 MHz, fbdiv=94, pd1=5, pd2=4
sysclk=56.500000 MHz, vco=1356 MHz, fbdiv=113, pd1=6, pd2=4
sysclk=56.571429 MHz, vco=792 MHz, fbdiv=66, pd1=7, pd2=2
sysclk=56.571429 MHz, vco=1188 MHz, fbdiv=99, pd1=7, pd2=3
sysclk=56.571429 MHz, vco=1584 MHz, fbdiv=132, pd1=7, pd2=4
sysclk=56.640000 MHz, vco=1416 MHz, fbdiv=118, pd1=5, pd2=5
sysclk=56.666667 MHz, vco=1020 MHz, fbdiv=85, pd1=6, pd2=3
sysclk=56.800000 MHz, vco=852 MHz, fbdiv=71, pd1=5, pd2=3
sysclk=57.000000 MHz, vco=456 MHz, fbdiv=38, pd1=4, pd2=2
sysclk=57.000000 MHz, vco=684 MHz, fbdiv=57, pd1=6, pd2=2
sysclk=57.000000 MHz, vco=684 MHz, fbdiv=57, pd1=4, pd2=3
sysclk=57.000000 MHz, vco=912 MHz, fbdiv=76, pd1=4, pd2=4
sysclk=57.000000 MHz, vco=1140 MHz, fbdiv=95, pd1=5, pd2=4
sysclk=57.000000 MHz, vco=1368 MHz, fbdiv=114, pd1=6, pd2=4
sysclk=57.000000 MHz, vco=1596 MHz, fbdiv=133, pd1=7, pd2=4
sysclk=57.120000 MHz, vco=1428 MHz, fbdiv=119, pd1=5, pd2=5
sysclk=57.142857 MHz, vco=1200 MHz, fbdiv=100, pd1=7, pd2=3
sysclk=57.333333 MHz, vco=516 MHz, fbdiv=43, pd1=3, pd2=3
sysclk=57.333333 MHz, vco=1032 MHz, fbdiv=86, pd1=6, pd2=3
sysclk=57.428571 MHz, vco=804 MHz, fbdiv=67, pd1=7, pd2=2
sysclk=57.500000 MHz, vco=1380 MHz, fbdiv=115, pd1=6, pd2=4
sysclk=57.600000 MHz, vco=576 MHz, fbdiv=48, pd1=5, pd2=2
sysclk=57.600000 MHz, vco=864 MHz, fbdiv=72, pd1=5, pd2=3
sysclk=57.600000 MHz, vco=1152 MHz, fbdiv=96, pd1=5, pd2=4
sysclk=57.600000 MHz, vco=1440 MHz, fbdiv=120, pd1=5, pd2=5
sysclk=57.714286 MHz, vco=1212 MHz, fbdiv=101, pd1=7, pd2=3
sysclk=57.750000 MHz, vco=924 MHz, fbdiv=77, pd1=4, pd2=4
sysclk=58.000000 MHz, vco=696 MHz, fbdiv=58, pd1=6, pd2=2
sysclk=58.000000 MHz, vco=696 MHz, fbdiv=58, pd1=4, pd2=3
sysclk=58.000000 MHz, vco=1044 MHz, fbdiv=87, pd1=6, pd2=3
sysclk=58.000000 MHz, vco=1392 MHz, fbdiv=116, pd1=6, pd2=4
sysclk=58.080000 MHz, vco=1452 MHz, fbdiv=121, pd1=5, pd2=5
sysclk=58.200000 MHz, vco=1164 MHz, fbdiv=97, pd1=5, pd2=4
sysclk=58.285714 MHz, vco=408 MHz, fbdiv=34, pd1=7, pd2=1
sysclk=58.285714 MHz, vco=816 MHz, fbdiv=68, pd1=7, pd2=2
sysclk=58.285714 MHz, vco=1224 MHz, fbdiv=102, pd1=7, pd2=3
sysclk=58.400000 MHz, vco=876 MHz, fbdiv=73, pd1=5, pd2=3
sysclk=58.500000 MHz, vco=468 MHz, fbdiv=39, pd1=4, pd2=2
sysclk=58.500000 MHz, vco=936 MHz, fbdiv=78, pd1=4, pd2=4
sysclk=58.500000 MHz, vco=1404 MHz, fbdiv=117, pd1=6, pd2=4
sysclk=58.560000 MHz, vco=1464 MHz, fbdiv=122, pd1=5, pd2=5
sysclk=58.666667 MHz, vco=528 MHz, fbdiv=44, pd1=3, pd2=3
sysclk=58.666667 MHz, vco=1056 MHz, fbdiv=88, pd1=6, pd2=3
sysclk=58.800000 MHz, vco=588 MHz, fbdiv=49, pd1=5, pd2=2
sysclk=58.800000 MHz, vco=1176 MHz, fbdiv=98, pd1=5, pd2=4
sysclk=58.857143 MHz, vco=1236 MHz, fbdiv=103, pd1=7, pd2=3
sysclk=59.000000 MHz, vco=708 MHz, fbdiv=59, pd1=6, pd2=2
sysclk=59.000000 MHz, vco=708 MHz, fbdiv=59, pd1=4, pd2=3
sysclk=59.000000 MHz, vco=1416 MHz, fbdiv=118, pd1=6, pd2=4
sysclk=59.040000 MHz, vco=1476 MHz, fbdiv=123, pd1=5, pd2=5
sysclk=59.142857 MHz, vco=828 MHz, fbdiv=69, pd1=7, pd2=2
sysclk=59.200000 MHz, vco=888 MHz, fbdiv=74, pd1=5, pd2=3
sysclk=59.250000 MHz, vco=948 MHz, fbdiv=79, pd1=4, pd2=4
sysclk=59.333333 MHz, vco=1068 MHz, fbdiv=89, pd1=6, pd2=3
sysclk=59.400000 MHz, vco=1188 MHz, fbdiv=99, pd1=5, pd2=4
sysclk=59.428571 MHz, vco=1248 MHz, fbdiv=104, pd1=7, pd2=3
sysclk=59.500000 MHz, vco=1428 MHz, fbdiv=119, pd1=6, pd2=4
sysclk=59.520000 MHz, vco=1488 MHz, fbdiv=124, pd1=5, pd2=5
sysclk=60.000000 MHz, vco=420 MHz, fbdiv=35, pd1=7, pd2=1
sysclk=60.000000 MHz, vco=480 MHz, fbdiv=40, pd1=4, pd2=2
sysclk=60.000000 MHz, vco=540 MHz, fbdiv=45, pd1=3, pd2=3
sysclk=60.000000 MHz, vco=600 MHz, fbdiv=50, pd1=5, pd2=2
sysclk=60.000000 MHz, vco=720 MHz, fbdiv=60, pd1=6, pd2=2
sysclk=60.000000 MHz, vco=720 MHz, fbdiv=60, pd1=4, pd2=3
sysclk=60.000000 MHz, vco=840 MHz, fbdiv=70, pd1=7, pd2=2
sysclk=60.000000 MHz, vco=900 MHz, fbdiv=75, pd1=5, pd2=3
sysclk=60.000000 MHz, vco=960 MHz, fbdiv=80, pd1=4, pd2=4
sysclk=60.000000 MHz, vco=1080 MHz, fbdiv=90, pd1=6, pd2=3
sysclk=60.000000 MHz, vco=1200 MHz, fbdiv=100, pd1=5, pd2=4
sysclk=60.000000 MHz, vco=1260 MHz, fbdiv=105, pd1=7, pd2=3
